Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in Sample Index,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
4672STDY7140017,mm10-1_2_0,"2,436","155,579","1,084","378,990,816",98.6%,90.0%,98.1%,84.4%,95.9%,98.0%,94.6%,88.6%,4.6%,7.5%,76.5%,74.3%,0.8%,90.5%,"16,191","4,042"
4672STDY7140018,mm10-1_2_0,"2,536","150,514","1,121","381,705,738",98.6%,91.0%,98.2%,84.0%,96.3%,98.1%,94.9%,88.2%,5.1%,7.2%,75.9%,73.7%,0.8%,87.5%,"16,189","4,149"
4672STDY7140019,mm10-1_2_0,"2,894","131,795","1,120","381,415,556",98.5%,89.3%,98.2%,84.7%,96.0%,98.1%,95.0%,88.6%,3.8%,8.0%,76.8%,74.5%,1.0%,92.0%,"16,030","4,240"
4672STDY7140020,mm10-1_2_0,"1,613","240,418","1,181","387,795,716",98.6%,92.3%,98.3%,86.7%,96.5%,98.2%,95.4%,89.4%,4.6%,7.5%,77.3%,75.3%,0.7%,87.1%,"15,740","4,603"
4672STDY7631188,mm10-1_2_0,"2,815","129,421",816,"364,322,234",98.3%,94.6%,97.6%,76.4%,94.4%,97.9%,92.0%,83.8%,3.7%,5.1%,75.1%,72.7%,0.9%,80.6%,"15,329","2,285"
4672STDY7631189,mm10-1_2_0,"3,876","93,183",713,"361,178,184",98.4%,91.4%,97.5%,74.8%,92.1%,97.8%,90.3%,84.1%,3.3%,7.4%,73.4%,71.0%,0.9%,87.9%,"16,362","1,815"
4672STDY7631190,mm10-1_2_0,"3,262","111,312",757,"363,102,881",98.3%,93.9%,97.5%,77.0%,93.2%,97.9%,92.0%,84.1%,3.6%,5.6%,75.0%,72.5%,1.0%,81.0%,"15,628","2,132"
4672STDY7631191,mm10-1_2_0,"2,654","128,386",755,"340,738,553",97.7%,94.0%,97.6%,75.3%,93.1%,97.8%,88.5%,80.5%,4.2%,5.4%,70.9%,68.4%,1.0%,71.5%,"15,391","2,103"
4672STDY7631192,mm10-1_2_0,"3,227","102,442","1,088","330,581,068",98.2%,91.1%,97.3%,73.8%,92.5%,97.4%,87.9%,81.7%,3.3%,6.2%,72.3%,70.0%,0.9%,82.5%,"15,721","3,202"
4672STDY7631193,mm10-1_2_0,"4,540","77,554",696,"352,098,869",98.2%,92.3%,97.8%,78.1%,94.3%,98.0%,90.0%,82.3%,3.6%,6.7%,72.0%,69.5%,1.1%,82.0%,"15,905","1,735"
4672STDY7623907,mm10-1_2_0,"4,581","79,090",655,"362,313,286",98.7%,86.1%,97.9%,73.5%,94.5%,98.0%,89.9%,83.5%,4.1%,7.2%,72.2%,70.1%,0.7%,85.1%,"16,698","2,029"
4672STDY7623908,mm10-1_2_0,"3,859","195,148",759,"753,078,127",98.6%,92.8%,98.2%,83.4%,95.5%,98.3%,93.4%,86.9%,4.3%,7.3%,75.4%,73.2%,0.7%,85.9%,"16,950","2,429"
4672STDY7623909,mm10-1_2_0,"3,216","120,667",888,"388,066,314",98.8%,93.3%,98.4%,85.1%,96.5%,98.5%,94.8%,85.4%,5.4%,3.9%,76.1%,74.4%,0.5%,82.0%,"14,707","3,013"
4672STDY7623910,mm10-1_2_0,"3,919","103,765",937,"406,656,601",98.7%,91.8%,98.7%,84.9%,97.3%,98.8%,95.2%,86.0%,5.8%,4.5%,75.6%,73.7%,0.5%,81.3%,"15,309","3,088"
4672STDY7623911,mm10-1_2_0,"4,080","97,662",781,"398,462,469",98.7%,88.0%,98.6%,84.5%,96.5%,98.7%,94.4%,87.9%,4.3%,7.4%,76.2%,74.1%,0.7%,89.3%,"16,738","2,476"
4672STDY7623912,mm10-1_2_0,"4,090","190,339",842,"778,488,896",98.6%,92.6%,98.3%,84.6%,96.5%,98.5%,94.3%,88.0%,4.3%,7.4%,76.2%,74.2%,0.7%,88.8%,"16,858","2,615"
4672STDY7623913,mm10-1_2_0,"2,205","176,737",806,"389,706,966",98.7%,92.0%,98.5%,85.2%,96.5%,98.6%,94.5%,86.7%,5.6%,6.2%,74.8%,72.8%,0.6%,70.2%,"15,770","2,463"
4672STDY7623914,mm10-1_2_0,"6,373","61,524",778,"392,092,718",98.7%,86.6%,98.4%,86.1%,96.4%,98.6%,95.0%,87.0%,3.8%,6.1%,77.1%,75.0%,0.7%,88.5%,"16,479","2,431"
4672STDY8112878,mm10-3_0_0,"10,154","32,931","1,698","334,390,916",98.8%,44.7%,96.5%,74.4%,90.9%,96.8%,91.5%,85.6%,6.8%,7.2%,71.7%,69.7%,0.7%,88.8%,"18,702","6,857"
4672STDY8112879,mm10-3_0_0,"8,801","38,590","1,395","339,631,512",98.8%,58.1%,96.9%,74.0%,92.0%,97.2%,91.2%,84.7%,10.2%,5.8%,68.6%,66.7%,0.6%,89.9%,"18,718","5,996"
4672STDY8112880,mm10-3_0_0,"10,214","33,678","1,485","343,988,246",98.8%,52.0%,96.9%,76.1%,92.2%,97.1%,92.0%,86.0%,9.2%,6.4%,70.4%,68.6%,0.7%,89.3%,"18,346","6,129"
4672STDY8112881,mm10-3_0_0,"8,416","41,900","1,640","352,634,886",98.7%,53.4%,97.3%,74.6%,93.0%,97.6%,91.8%,85.8%,10.6%,6.4%,68.9%,67.0%,0.6%,88.2%,"18,778","7,210"
4672STDY8112882,mm10-3_0_0,"8,230","42,006","1,479","345,717,532",98.6%,60.8%,97.7%,74.2%,93.8%,97.9%,93.6%,86.7%,10.1%,6.4%,70.1%,68.4%,0.6%,89.2%,"17,950","6,276"
4672STDY8112883,mm10-3_0_0,"9,409","36,419","1,490","342,668,257",98.7%,51.1%,97.8%,71.8%,93.9%,97.9%,92.5%,87.0%,9.1%,6.9%,71.0%,69.0%,0.6%,90.3%,"18,545","6,157"
4672STDY8112884,mm10-3_0_0,"9,125","32,684","1,233","298,248,975",98.6%,58.2%,97.9%,67.4%,93.2%,98.0%,94.7%,88.4%,10.9%,6.9%,70.6%,68.9%,0.7%,91.8%,"18,436","5,031"
4672STDY8112885,mm10-3_0_0,"10,268","33,784","1,458","346,897,784",98.7%,51.6%,97.3%,73.1%,93.3%,97.5%,91.7%,85.8%,10.0%,6.6%,69.1%,67.3%,0.6%,92.0%,"18,783","6,133"
